digit, class, logic, train
2, 2, 0.14037394523620605,  3.6803269386291504
2, 3, 1.2582225799560547, 9.116119146347046
2, 4, 6.494197607040405, 15.956370830535889
2, 5, 29.563303470611572, 42.46424627304077
2, 6, 114.60446190834045, 140.4936068058014
2, 7, 366.90204787254333, 402.9000585079193

3, 2, 18.960294723510742, 23.10112428665161
4, 2

3, 3, 535.5727488994598, 541.6563320159912
