Wall time,Step,Value
1708126031.5052774,0,0.7463828921318054
1708126031.5988982,1,0.6693539619445801
1708126031.724152,2,0.49875789880752563
1708126031.8546329,3,0.4242483377456665
1708126031.9978037,4,0.38656747341156006
1708126032.1282995,5,0.31374818086624146
1708126032.2533715,6,0.22141793370246887
1708126032.360121,7,0.24904045462608337
1708126032.4704504,8,0.24086511135101318
1708126032.5853224,9,0.16039854288101196
1708126032.6793454,10,0.17370182275772095
1708126032.7874029,11,0.13536876440048218
1708126032.8819323,12,0.13232780992984772
1708126033.0795507,13,0.09771537035703659
1708126033.1727085,14,0.06390471756458282
1708126033.2678125,15,0.07134554535150528
1708126033.3626397,16,0.09198420494794846
1708126033.4704213,17,0.04736728221178055
1708126033.5718193,18,0.08804318308830261
1708126033.6855278,19,0.03458463400602341
1708126033.78392,20,0.051544491201639175
1708126033.87998,21,0.025539297610521317
1708126033.9775279,22,0.0741138905286789
1708126034.0715873,23,0.031989626586437225
1708126034.1639216,24,0.055635642260313034
1708126034.2588434,25,0.03593424707651138
1708126034.3541393,26,0.03567451238632202
1708126034.4501565,27,0.02074132114648819
1708126034.5454326,28,0.047907404601573944
1708126034.6444666,29,0.048315536230802536
1708126034.7437243,30,0.07250823080539703
1708126034.8452508,31,0.02650628611445427
1708126034.941445,32,0.03016488440334797
1708126035.1428359,33,0.015402637422084808
1708126035.243403,34,0.016726646572351456
1708126035.3388474,35,0.02405027113854885
1708126035.4339523,36,0.014362361282110214
1708126035.5330067,37,0.027107572183012962
1708126035.6268072,38,0.04559013247489929
1708126035.7217863,39,0.03514379262924194
1708126035.8100483,40,0.019441545009613037
1708126035.9013894,41,0.015758002176880836
1708126035.988416,42,0.03051047958433628
1708126036.0838885,43,0.05653999000787735
1708126036.1833568,44,0.01695440337061882
1708126036.2786906,45,0.011858590878546238
1708126036.3687406,46,0.025854477658867836
1708126036.4634361,47,0.013075646944344044
1708126036.5497732,48,0.008328551426529884
1708126036.6488688,49,0.013998432084918022
1708126036.7513616,50,0.01006985828280449
1708126036.8502057,51,0.02789686620235443
1708126036.9411993,52,0.020269211381673813
1708126037.028861,53,0.02771945856511593
1708126037.1190825,54,0.02230210229754448
1708126037.2105508,55,0.045416198670864105
1708126037.308353,56,0.009872940368950367
1708126037.4254067,57,0.035434577614068985
1708126037.6374385,58,0.022321829572319984
1708126037.7317147,59,0.06028762832283974
1708126037.8207648,60,0.03890325129032135
1708126037.9202855,61,0.013672617264091969
1708126038.0213754,62,0.04188273474574089
1708126038.1194994,63,0.0036769863218069077
1708126038.219796,64,0.027722345665097237
1708126038.3163288,65,0.009622498415410519
1708126038.4095912,66,0.008766784332692623
1708126038.5033755,67,0.004987141117453575
1708126038.5966578,68,0.012865190394222736
1708126038.6852715,69,0.016168123111128807
1708126038.7768142,70,0.04178944230079651
1708126038.8737152,71,0.01634778268635273
1708126038.971411,72,0.009505411610007286
1708126039.0673513,73,0.007703935261815786
1708126039.1605632,74,0.0297340527176857
1708126039.2455301,75,0.032684411853551865
1708126039.4444118,76,0.006698505952954292
1708126039.5338817,77,0.01098709274083376
1708126039.6289437,78,0.01243133470416069
1708126039.7163832,79,0.008654729463160038
1708126039.8118875,80,0.0050061484798789024
1708126039.9082966,81,0.004252556245774031
1708126040.006649,82,0.015657031908631325
1708126040.1103425,83,0.011040622368454933
1708126040.202832,84,0.017850734293460846
1708126040.2914953,85,0.004826485179364681
1708126040.3834462,86,0.02772517502307892
1708126040.4676037,87,0.004865166265517473
1708126040.5613077,88,0.013968664221465588
1708126040.6626225,89,0.008906954899430275
1708126040.7497022,90,0.027215618640184402
1708126040.847132,91,0.01087964978069067
1708126040.946639,92,0.009877416305243969
1708126041.0394428,93,0.013527931645512581
1708126041.127908,94,0.005432122852653265
1708126041.2169394,95,0.013033666647970676
1708126041.3023252,96,0.004403217695653439
1708126041.3978665,97,0.0033881543204188347
1708126041.4935386,98,0.012165260501205921
